listing_name,post_id,address,address2,rent,bedrooms,datetime_posted,size,availability,description,attributes,lat,lon,html
BRAND NEW TRIDEL 1+1BED WATERFRONT CONDO with parking,post id: 6556533631,(15 Merchants' Wharf St),NA,"$2,400",1BR / 1Ba,24/04/2018 23:49,625ft2,09/04/2018,"Brand New Tridel Built Luxurious One Bedroom With Large Den (1+1) Suite Located In The Waterfront Community. High Smooth Ceiling With Laminate Throughout. North East City View With Lots Of Lights.Open-Concept Kitchen Features A Large Island Perfect For Entertaining.Convenient Access To Loblaws,T&T Supermarket. Steps To Public Transit, Shops, Mins To George Brown College.","['condo', 'w/d in unit', 'attached garage']",43.644895,-79.363174,https://toronto.craigslist.ca/tor/apa/d/brand-new-tridel-11bed/6556533631.html
1+1bed maple leafs square condo attached to the path,post id: 6556269023,(65 bemner blvd),NA,"$2,150",1BR / 1Ba,24/04/2018 23:49,560ft2,09/04/2018,"Beautiful, Bright And Quiet 554 Sq' 1 Bedroom & Study In Prime Downtown Toronto ""Maple Leaf Square"" Building W/ 9 Ft. Floor-Ceiling Windows! Walk-Out From L/R To South Facing Lake-View From Huge Balcony. 24Hr Concierge. Indoor & Outdoor Pools, Hot Tub, Outdoor Deck, Theatre, Business Centre, Indoor Access To P.A.T.H. Walk To Ttc, Union Station, Acc, Supermarket, Bank, Restaurants, Harbourfront And Much More!","['condo', 'w/d in unit']",43.640816,-79.381752,https://toronto.craigslist.ca/tor/apa/d/11bed-maple-leafs-square/6556269023.html
MASSIVE 2BED CONDO 900 sq ft 2bath with parking in downtown east end,post id: 6556103294,(225 sackville st),NA,"$2,525",2BR / 2Ba,24/04/2018 23:49,900ft2,01/06/2018,"Massive 2 Bdrm/2 Bath Corner Unit Spreads Out In Over 1000Sf (892Sf+119Sf). Samsung Appliance Package, Granite Counter And Tons Of Storage. 10Ft Ceiling, Huge Windows. Easy Access To Ttc, Dvp, Directly Across From The New Community Park An Regional Aquatic Centre, Retailer Including Sobey's Fresh Co, Rogers, Rbc, Tim Hortons, Walking Distance To Ryerson University, George Brown College, Eaton Centre And Schools And So Much More N The Heart Of Toronto.","['condo', 'w/d in unit', 'attached garage']",43.660806,-79.363318,https://toronto.craigslist.ca/tor/apa/d/massive-2bed-condo-900-sq-ft/6556103294.html
SHERWAY GARDENS 1+1bed over 700 sqft 2baths with parking,post id: 6556232659,(225 sherway gardens),NA,"$1,950",1BR / 2Ba,24/04/2018 23:49,710ft2,01/05/2018,"Wake Up Bright And Early Every Morning In This Sunlit Condo! Spacious, Wonderfully Maintained!! Heart Of The City! Close To All Major Highways And Downtown Toronto! 2 Full Bathrooms! Jacuzzi Tub In Master! No Carpet Anywhere! Great View Of Gardens And Park! Large Closets, Tons Of Space! Parking Included! Sherway Gardens Mall Is Your Neighbor! You Won't Be Disappointed!","['condo', 'w/d in unit', 'attached garage']",43.610097,-79.557865,https://toronto.craigslist.ca/tor/apa/d/sherway-gardens-11bed-over/6556232659.html
2BED @ indx condo in heart of financial district with parking 2 bath,post id: 6556111600,(70 temperance st),NA,"$3,500",2BR / 2Ba,24/04/2018 23:49,NA,09/04/2018,"Condo In The Heart Of Downtown Financial District - Save Time And Money Commuting.Bright And Spacious 2 Bed + 2 Full Bath With The Luxury Of Having Parking Included In Downtown All Engineered Hardwood. Wine Cooler. Must See . 9 Ft Ceiling. Stainless Steel Appliances And Stone Counter-Top. Floor To Ceiling Windows. Minutes From Subway, Across From The Underground Path. Everything At Your Door Step.Ready To Move In Now.","['condo', 'w/d in unit', 'attached garage']",43.650949,-79.382392,https://toronto.craigslist.ca/tor/apa/d/2bed-indx-condo-in-heart-of/6556111600.html
OVER 1300SQFT  in brand new downtown waterfront condo 2+1bed parking,post id: 6556191653,(55 Merchants' Wharf St),NA,"$4,850",2BR / 2.5Ba,24/04/2018 23:49,1300ft2,09/04/2018,"Completely New 'Aqualina At Bayside ""Condo With A Gorgeous View, 2 Balconies, 2 Bedrooms With Den, More Than 1300 Sqft, Walking Distance Of Sugar Beach And Park, Extremely Convenient Location Near George Brown College, Loblaws, And Ferry Terminal.","['condo', 'w/d in unit', 'attached garage']",43.64502,-79.361973,https://toronto.craigslist.ca/tor/apa/d/over-1300sqft-in-brand-new/6556191653.html
PRIME ANNEX 1BED UNIT IN VICTORIAN util included just $1900,post id: 6556199265,(bathurst and dupont),NA,"$1,900",1BR / 1Ba,24/04/2018 23:49,NA,01/05/2018,"Fantastic Location!! Stylish Victorian In Prime Annex. Bright Modern High Ceiling Unit. 1 Car Parking $100/Month Mid Size Car Will Fit! Well Maintained. Walking Distance To Bathurst Subway, Art Galleries, Restaurants & Shopping, Bloor West Amenities. Superb Walk Score Of 97. Utilities Included!! Modern Kitchen, Spacious & Bright Unit. Walk Out To Porch From Master Bedroom.S/S Fridge, Stove, Dishwasher, Built In Microwave, Shared Washer/Dryer Downstairs. Very Convenient & Clean! 1 Mid Size Parking Spot $100/Month Optional.","['apartment', 'w/d in unit', 'carport']",43.670214,-79.413224,https://toronto.craigslist.ca/tor/apa/d/prime-annex-1bed-unit-in/6556199265.html
2BED CONDO WITH PARKING @ BAY/COLLEGE indoor pool gym,post id: 6556215812,(37 Grosvenor St),NA,"$2,850",2BR / 2Ba,24/04/2018 23:49,NA,21/04/2018,"Bay/College Two Bedroom With Two Full Bathrooms. Most Popular Split Good Size Bedrooms Layout.Steps To U Of T, Rayerson University. Floor To Ceiling Windows, Large Balcony, Parking And Locker Are Included! Murano Club With Health Club, Indoor Pool With Retractable Roof, And Rooftop Terrace. Partial Furniture. Model Stainless Steel Appliance (Fridge, Stove, B/I Dishwasher), Washer And Dryer, Granite Counter Tops.","['condo', 'w/d in unit', 'attached garage']",43.662471,-79.385648,https://toronto.craigslist.ca/tor/apa/d/2bed-condo-with-parking-bay/6556215812.html
WOW 450 SQFT ROOFTOP TERRACE 1bed at madison condo yonge/eglinton,post id: 6556241432,(89 dunfield ave),NA,"$1,925",1BR / 1Ba,24/04/2018 23:49,NA,15/05/2018,"Gorgeous Unit At ""The Madison Condos"". This Unit Boasts A Fantastic Floor Plan With A Huge 450 Sq.Ft Terrace!In Oasis In The Center Of The City! Upgraded Kitchen W/Island & Breakfast Bar. 9' Ceilings, Tons Of Natural Light. First Class Amenities, Loblaws & Orange Theory Fitness On The Ground Floor Of The Building. New Home To Buca Restarant On Ground Floor! Walk Out Your Door To The City's Best Restaurants And Shops. 5 Minute Walk To Subway","['condo', 'w/d in unit']",43.706725,-79.394846,https://toronto.craigslist.ca/tor/apa/d/wow-450-sqft-rooftop-terrace/6556241432.html
MILLION DOLLAR VIEW 1+1BED CONDO ON THE LAE PARKING INCL,post id: 6556526894,(15 legion rd),NA,"$1,900",1BR / 1Ba,24/04/2018 23:48,630ft2,01/05/2018,"Wow... Enjoy The Million Dollar View From Your Large Open Balcony, While Benefiting From The Preferred Layout Of The ""08"" Unit. Stainless Steel Appliances, Granite Counter Tops, Breakfast Area Bar, Den And Gleaming Hardwood Floors. The Open Concept And Floor To Ceiling Windows Flood The Unit With Lots Of Natural Light. Two Separate Walkouts To The Balcony. Don't Miss Out On This One!","['condo', 'w/d in unit', 'attached garage']",43.620607,-79.483542,https://toronto.craigslist.ca/tor/apa/d/million-dollar-view-11bed/6556526894.html
LIVE IN THE PISCASSO condo in heart of entertaiment district bachelor,post id: 6556095148,(318 richmond st e),NA,"$1,700",0BR / 1Ba,24/04/2018 23:48,NA,01/05/2018,"Gorgeous Bachelor Studio In The Picasso On Richmond Located In The Heart Of The Entertainment District. Features Floor To Ceiling Windows, Modern Kitchen And Bath And Two Large Double Closets. Steps To Restaurants, Ttc, Kensington Market And The Financial District. Unit Includes One Locker. Fridge, Cooktop, B/I Oven, B/I Dishwasher, Microwave. 24 Hr Concierge, Yoga And Pilates Studio, Billiards Room, Media Room, Sauna, Exercise Room. Rooftop Bbq, Outdoor Hot Tub.","['condo', 'w/d in unit']",43.64905,-79.391129,https://toronto.craigslist.ca/tor/apa/d/live-in-the-piscasso-condo-in/6556095148.html
3bed house in the junction,post id: 6556088156,(Runnymede/Annette),NA,"$3,900",3BR / 1Ba,24/04/2018 23:48,NA,09/04/2018,"Warm&Welcoming 3Br Detached Home, Wonderfully Situated In The Heat Of Bloor West Village! Open Concept Main Floor Area With 9Ft Ceiling. Brand New Laminate Floor, Kitchen With Breakfast Bar, Walkout To The Large Garden. Walking Distance To The Runnymede Subway Station, High Ranking School (Runnymede J&S/ Humberside).","['house', 'w/d in unit']",43.659274,-79.479695,https://toronto.craigslist.ca/tor/apa/d/3bed-house-in-the-junction/6556088156.html
MADISON CONDO 1+1BED WITH PARKING @ yonge/eglinton,post id: 6555776032,(98 lillian st),NA,"$2,300",1BR / 1Ba,24/04/2018 23:48,660ft2,01/05/2018,"Luxury Madison Condo At Yonge & Eglinton.1+ Den Corner Unit With Breathtaking Unobstructed Ne Exposure. 655 Sqft Living Space + Extra Large Balcony. Eng. Hardwood Floors Throughout, 10-Foot High Ceilings, Granite Kitchen Countertops, Ensuite Laundry. Indoor Access To Brand New Loblaws/ Lcbo (Lobby Floor). Step To Subway, School, Restaurants & Cafe, Yonge/ Eglinton Center. Great Amenities Including Two Story Fitness Gallery,Wet Steam/Dry Sauna,Terrace Indoor& Outdoor Bar Lounge, Roof Top Garden,Indoor Pool,Party Rm,Guest Suite.New S/S Fridge,Stove,B/I Dishwasher, Washer,Dryer,Elf.*1 Locker & Parking Included*","['condo', 'w/d in unit', 'attached garage']",43.706818,-79.39446,https://toronto.craigslist.ca/tor/apa/d/madison-condo-11bed-with/6555776032.html
FURNISHED 1+1BED @ YONGE/EGLINTON built by freed,post id: 6555772057,(185 roehampton ave),NA,"$2,000",1BR / 1Ba,24/04/2018 23:48,600ft2,01/05/2018,"Rare To Find Funitures And Internet Included, Brand New 1+1 Condo With Most Desireable Location. Den Can Be 2nd Bedroom. Steps To Subway, Shopping Centre, Public Transit, Grocery. Stainless Steel Appliances, B/I Fridge, Large Balcony, Clear View. Smart Home Control. Guest Suites, Gym, Outdoor Pool, Party Room, Visitor Parking, 24 Hr Security. The Unit You Must See!","['condo', 'w/d in unit']",43.709114,-79.393088,https://toronto.craigslist.ca/tor/apa/d/furnished-11bed-yonge/6555772057.html
1+1bed tridel condo by high park with parking incl,post id: 6555768725,(2 old mill drive),NA,"$2,200",1BR / 1Ba,24/04/2018 23:48,640ft2,10/05/2018,"""Two Old Mill"", Tridel's Masterpiece Bldg. Beautiful, 1+1 Condo W/Parking & Locker. Impeccably Maintained. Integrated Kit, Appliances, Stone Counters, Open Concept. World Class Building Amenities Incl: Indoor Pool, Gym, Yoga Studio, 24/7 Concierge, Roof Top Terrace & More. Transit, Subway With Short Walk, Enjoy Bloor West Amenities, Shopping, 7 Restaurants. Fridge, Stove, B/I Dishwasher Washer, Dryer, All Existing Light Fixtures (Not Belonging To Tenant), Window Blinds, One Parking & One Locker","['condo', 'w/d in unit', 'attached garage']",43.648001,-79.487715,https://toronto.craigslist.ca/tor/apa/d/11bed-tridel-condo-by-high/6555768725.html
ICONIC 1 BLOOR CONDOin yorkville,post id: 6558710157,(1 bloor st e),NA,"$2,200",1BR / 1Ba,24/04/2018 23:48,NA,01/05/2018,"Iconic Building, 'One Bloor' In Toronto. East Exposure, One Bedroom Unit With Balcony On High Floor. 535 Sqft. 9 Foot Ceilings, Great Amenities; Indoor Pool, Heated Outdoor Pool, Spa Facilities, Therapeutic Saunas, Party Room, Gym, Walk Score 100. Direct Access To Yonge & Bloor Subways.","['condo', 'w/d in unit']",43.669951,-79.38622,https://toronto.craigslist.ca/tor/apa/d/iconic-1-bloor-condoin/6558710157.html
BRAND NEW 1+1BED furnished condo downtown waterfront,post id: 6555759353,(55 Merchants' Wharf St),NA,"$2,400",1BR / 1Ba,24/04/2018 23:45,630ft2,08/04/2018,Fully Furnished Luxurious Condo At Tridel's New Building 'Aqualina At Bayside'. Lots Of Natural Light And Space In Unit. High End Finishes. Juliette Balcony With Partial View Of The Lake. Brand New Furniture. Amazing Amenities In The Building. Transit Close To Building. A Must See.,"['condo', 'w/d in unit']",43.645268,-79.362574,https://toronto.craigslist.ca/tor/apa/d/brand-new-11bed-furnished/6555759353.html
1+1bed condo in yorkville with parking close to 700 sq ft,post id: 6555755621,(825 church st),NA,"$2,250",1BR / 1Ba,24/04/2018 23:45,700ft2,16/05/2018,"Live In The Most Prestige's Location Of The City - Rosedale And Yorkville With A Breathtaking View. The Milan Condominiums Is Known For Its Lavish Amenities & Rich Finishes. Spacious 682 Square Ft 1 Bbdrm + 1 Washroom + Den Has Open Concept Living With Floor To Ceiling Windows (9Ft). Modern Kitchen With 6 Ss Appliances, Granite Counters, Breakfast Bar, Beautiful Backsplash. Large Master Bedroom W/ Walk In Closet. Gorgeous Bathroom W/ Marble Finish. Walking Distance To Bloor-Yonge Subway Station, Close To U Of T, Financial District, Yorkville Shopping. 1 Parking Included. State-Of-The-Art Fitness Centre, Indoor Pool, Guest Suites, Media Room, Party Room W/A Full Outdoor Terrace.","['condo', 'w/d in unit', 'attached garage']",43.672163,-79.384906,https://toronto.craigslist.ca/tor/apa/d/11bed-condo-in-yorkville-with/6555755621.html
1+1(DEN PARTIAL CLOSED IN)OVER 700 SQ FT WITH PARKING entertainment di,post id: 6555681810,(381 front st w),NA,"$2,500",1BR / 1Ba,24/04/2018 23:45,715ft2,08/04/2018,"Rare Direct View Of Cn Tower, Rogers Centre, And Lake. Renovated And High Demand Building, Corner Unit With Fabulous Views, Very Bright 1+1 Bedroom, Laminate Wood Floors Throughout. Amenities Have Large Gym, Basketball Court, Full Size Swimming Pool, One Parking Included. Fridge, Stove, B/I Dishwasher, Washer/Dryer. A-Class Building With 24 Hours Concierge/Security, Indoor Pool, Gym, Sauna, 1 Parking Included.","['condo', 'w/d in unit', 'attached garage']",43.642933,-79.392791,https://toronto.craigslist.ca/tor/apa/d/11den-partial-closed-inover/6555681810.html
WOW 1250 SQ FT 2bed condo with direct lakeview on the waterfront parki,post id: 6552119381,(550 queensquay w),NA,"$3,500",2BR / 2Ba,24/04/2018 23:44,1250ft2,01/06/2018,"Amazing Open-Concept & Fully Upgraded Corner Unit In One Of The Best Buildings On The Harbourfront! Enjoy Waterfront Views & Plenty Of Natural Light With An Abundance Of Windows. Approx 1,250 Sqft! Hardwood Flooring Throughout, Custom Window Coverings & Built-Ins, A Spa-Like Ensuite Bathroom With An Xl Glass Shower, & A Chef's Kitchen With A Large Island. Unit Includes A Large Locker & Parking Space With 2 Private & Secure Bike Racks. Pass Hours Watching Boats From Your Private Balcony Or Take In Sweeping Waterfront & Cn Tower Views From The Panoramic Vista Of The Rooftop Terrace. Enjoy The Tranquility Of Harbourfront Living, Only Steps From Great Amenities & Ttc.","['condo', 'w/d in unit', 'attached garage']",43.636766,-79.395749,https://toronto.craigslist.ca/tor/apa/d/wow-1250-sq-ft-2bed-condo/6552119381.html
